sess,page_end,leg,number,page_start,session_date,pub_date,id
1,66,1,104,1,2012-05-03 00:00:00,2012-05-04 00:00:00,l01s01n104
1,28,1,105,1,2012-05-04 00:00:00,2012-05-05 00:00:00,l01s01n105
1,29,1,106,1,2012-05-09 00:00:00,2012-05-10 00:00:00,l01s01n106
1,42,1,107,1,2012-05-10 00:00:00,2012-05-11 00:00:00,l01s01n107
1,58,1,108,1,2012-05-11 00:00:00,2012-05-12 00:00:00,l01s01n108
1,40,1,109,1,2012-05-16 00:00:00,2012-05-17 00:00:00,l01s01n109
1,52,1,110,1,2012-05-17 00:00:00,2012-05-18 00:00:00,l01s01n110
1,59,1,111,1,2012-05-18 00:00:00,2012-05-19 00:00:00,l01s01n111
1,31,1,112,1,2012-05-23 00:00:00,2012-05-24 00:00:00,l01s01n112
1,32,1,113,1,2012-05-24 00:00:00,2012-05-25 00:00:00,l01s01n113
1,44,1,114,1,2012-05-25 00:00:00,2012-05-26 00:00:00,l01s01n114
1,30,1,115,1,2012-05-31 00:00:00,2012-05-31 00:00:00,l01s01n115
1,32,1,116,1,2012-05-31 00:00:00,2012-06-01 00:00:00,l01s01n116
1,78,1,117,1,2012-06-01 00:00:00,2012-06-02 00:00:00,l01s01n117
1,77,1,118,1,2012-06-06 00:00:00,2012-06-08 00:00:00,l01s01n118
1,49,1,119,1,2012-06-08 00:00:00,2012-06-09 00:00:00,l01s01n119
1,68,1,120,1,2012-06-14 00:00:00,2012-06-15 00:00:00,l01s01n120
1,38,1,121,1,2012-06-15 00:00:00,2012-06-16 00:00:00,l01s01n121
1,32,1,122,1,2012-06-20 00:00:00,2012-06-21 00:00:00,l01s01n122
1,35,1,123,1,2012-06-21 00:00:00,2012-06-22 00:00:00,l01s01n123
1,50,1,124,1,2012-06-22 00:00:00,2012-06-23 00:00:00,l01s01n124
1,65,1,125,1,2012-06-25 00:00:00,2012-06-26 00:00:00,l01s01n125
1,41,1,126,1,2012-06-27 00:00:00,2012-06-28 00:00:00,l01s01n126
1,36,1,127,1,2012-06-28 00:00:00,2012-06-29 00:00:00,l01s01n127
1,35,1,128,1,2012-06-29 00:00:00,2012-06-30 00:00:00,l01s01n128
1,63,1,129,1,2012-07-04 00:00:00,2012-07-05 00:00:00,l01s01n129
1,48,1,130,1,2012-07-05 00:00:00,2012-07-06 00:00:00,l01s01n130
1,55,1,131,1,2012-07-06 00:00:00,2012-07-07 00:00:00,l01s01n131
1,66,1,132,1,2012-07-11 00:00:00,2012-07-12 00:00:00,l01s01n132
1,67,1,133,1,2012-07-12 00:00:00,2012-07-13 00:00:00,l01s01n133
1,44,1,134,1,2012-07-13 00:00:00,2012-07-14 00:00:00,l01s01n134
1,81,1,135,1,2012-07-25 00:00:00,2012-07-26 00:00:00,l01s01n135
1,47,1,136,1,2012-09-12 00:00:00,2012-09-13 00:00:00,l01s01n136
2,45,1,1,1,2012-09-20 00:00:00,2012-09-20 00:00:00,l01s02n001
